SYMBOL,DESCRIPTION,IBKR SYMBOL,CURRENCY,PRODUCT,REGION,EXCHANGE
URGB,WT SHORT EUR LONG GBP,URGB,GBP,ETF,JE,LSE
USFM,UBSETF MSCI USA SEL.FACT.MIX,USFM,GBP,ETF,IE,LSE
USGB,WT SHORT USD LONG GBP,USGB,GBP,ETF,JE,LSE
USGBPA,UBS ETF MSCI USA H.GBP A ACC,UB0A,GBP,ETF,IE,LSE
USIX,AMDI USD CORP PAB NZERO INC,USIX,GBP,ETF,LU,LSE
USP3,WT LONG USD SHORT GBP 3X DLY,USP3,GBP,ETF,JE,LSE
UVNG,RIZE USA ENVIRONMENT ETF,UVNG,GBP,ETF,IE,LSE
WATL,AMUND MSCI WATER ESG SCREEN,WATL,GBP,ETF,FR,LSE
WCCP,WISDOMTREE CALIFORNIA CARBON,WCCP,GBP,ETF,JE,LSE
WEAP,WT WHEAT,WEAP,GBP,ETF,JE,LSE
WETP,WISDOMTREE PHYSICAL ETHEREUM,WETP,GBP,ETF,JE,LSE
WLDL,AMUNDI MSCI WORLD,WLDL,GBP,ETF,FR,LSE
WXBT,WISDOMTREE PHYSICAL BITCOIN,WXBT,GBP,ETF,JE,LSE
XCO2,AM GL AGG G BD 1-10Y-ETF A,XCO2,GBP,ETF,LU,LSE
XCOG,AM GL AGG G BD 1-10Y-ETF GHD,XCOG,GBP,ETF,LU,LSE
XGDG,X IE PHYSICAL GOLD ETC GBP,XGDG,GBP,ETF,IE,LSE
XGLS,XTRACKER GOLD ETC GBP HDG,XGLS,GBP,ETF,JE,LSE
